174,1.077,3.082,1.086,0.161,1.089,0.42,0.5
175,1.068,3.086,1.09,0.161,1.094,0.421,0.503
176,1.043,3.09,1.095,0.161,1.101,0.423,0.506
177,1.025,3.093,1.1,0.161,1.108,0.425,0.51
178,1.026,3.096,1.103,0.16,1.114,0.425,0.512
179,1.034,3.099,1.105,0.158,1.119,0.424,0.513
180,0.459,3.101,1.105,0.153,1.121,0.421,0.511
181,0.448,3.103,1.104,0.148,1.122,0.417,0.509
182,0.433,3.105,1.103,0.142,1.122,0.412,0.505
183,0.428,3.106,1.102,0.137,1.123,0.407,0.503
184,0.434,3.106,1.102,0.133,1.125,0.404,0.501
185,0.441,3.106,1.104,0.131,1.128,0.402,0.501
186,0.363,3.106,1.107,0.131,1.132,0.402,0.502
187,0.352,3.106,1.111,0.131,1.137,0.403,0.505
188,0.344,3.107,1.115,0.131,1.142,0.404,0.507
189,0.344,3.107,1.118,0.13,1.146,0.405,0.509
190,0.349,3.107,1.12,0.128,1.148,0.404,0.51
191,0.351,3.108,1.121,0.125,1.15,0.403,0.509
192,0.735,3.109,1.119,0.12,1.149,0.399,0.507
193,0.71,3.112,1.117,0.114,1.148,0.394,0.503
194,0.692,3.114,1.114,0.108,1.147,0.39,0.499
195,0.694,3.117,1.113,0.103,1.148,0.386,0.497
196,0.703,3.121,1.113,0.1,1.15,0.385,0.496
197,0.704,3.124,1.115,0.098,1.155,0.385,0.497
198,1.01,3.128,1.12,0.099,1.161,0.387,0.5
199,0.971,3.13,1.126,0.101,1.17,0.39,0.505
200,0.95,3.133,1.131,0.102,1.177,0.393,0.509
201,0.958,3.135,1.135,0.102,1.184,0.394,0.512
202,0.975,3.138,1.137,0.099,1.188,0.393,0.512
203,0.976,3.14,1.136,0.094,1.19,0.39,0.511
204,0.465,3.141,1.14,0.093,1.196,0.391,0.513
205,0.419,3.142,1.146,0.095,1.205,0.395,0.519
206,0.352,3.142,1.154,0.098,1.215,0.4,0.526
207,0.332,3.143,1.161,0.1,1.223,0.404,0.531
208,0.364,3.143,1.165,0.1,1.229,0.406,0.535
209,0.399,3.142,1.166,0.097,1.231,0.404,0.534
210,0.481,3.143,1.162,0.089,1.228,0.398,0.529
211,0.376,3.143,1.155,0.079,1.222,0.389,0.522
212,0.289,3.143,1.148,0.068,1.216,0.379,0.514
213,0.294,3.144,1.143,0.06,1.212,0.372,0.508
214,0.36,3.144,1.142,0.055,1.212,0.369,0.506
215,0.399,3.144,1.145,0.055,1.215,0.369,0.508
216,0.31,3.144,1.147,0.055,1.218,0.37,0.51
217,0.31,3.144,1.149,0.054,1.221,0.37,0.511
218,0.312,3.144,1.151,0.052,1.223,0.369,0.511
219,0.312,3.145,1.151,0.049,1.224,0.368,0.511
220,0.31,3.145,1.151,0.046,1.225,0.366,0.51
221,0.306,3.145,1.151,0.042,1.225,0.365,0.509
222,0.619,3.146,1.15,0.038,1.224,0.362,0.507
223,0.611,3.148,1.148,0.033,1.224,0.359,0.505
224,0.608,3.15,1.148,0.03,1.225,0.357,0.504
225,0.61,3.152,1.148,0.027,1.227,0.355,0.503
226,0.61,3.155,1.149,0.025,1.23,0.355,0.503
227,0.605,3.158,1.151,0.024,1.234,0.355,0.504
228,0.896,3.161,1.154,0.024,1.239,0.357,0.507
229,0.877,3.163,1.159,0.024,1.246,0.359,0.51
230,0.869,3.165,1.162,0.024,1.252,0.36,0.513
231,0.874,3.167,1.165,0.023,1.257,0.361,0.514
232,0.88,3.168,1.166,0.02,1.26,0.359,0.514
233,0.877,3.17,1.165,0.015,1.262,0.356,0.513
234,0.471,3.171,1.17,0.015,1.269,0.358,0.516
235,0.41,3.171,1.177,0.018,1.278,0.363,0.523
236,0.333,3.171,1.185,0.022,1.288,0.369,0.53
237,0.315,3.17,1.192,0.024,1.297,0.373,0.536
238,0.357,3.17,1.196,0.024,1.302,0.375,0.539
239,0.396,3.169,1.196,0.021,1.304,0.373,0.539
240,0.461,3.168,1.192,0.013,1.3,0.367,0.533
241,0.35,3.168,1.185,0.003,1.294,0.358,0.526
242,0.264,3.168,1.178,-0.008,1.287,0.348,0.518
243,0.275,3.168,1.173,-0.016,1.283,0.341,0.512
244,0.344,3.168,1.172,-0.02,1.283,0.338,0.51
245,0.381,3.167,1.175,-0.02,1.286,0.339,0.512
246,0.384,3.166,1.177,-0.02,1.29,0.339,0.513
247,0.385,3.165,1.18,-0.021,1.293,0.339,0.514
248,0.387,3.164,1.181,-0.022,1.294,0.338,0.514
249,0.385,3.162,1.181,-0.024,1.295,0.336,0.513
250,0.381,3.16,1.182,-0.027,1.296,0.333,0.512
251,0.376,3.158,1.182,-0.03,1.296,0.33,0.51
252,0.555,3.157,1.181,-0.033,1.296,0.326,0.508
253,0.551,3.156,1.181,-0.036,1.296,0.323,0.506
254,0.552,3.156,1.181,-0.039,1.298,0.32,0.504
255,0.554,3.157,1.182,-0.04,1.3,0.319,0.503
256,0.552,3.158,1.183,-0.041,1.303,0.318,0.504
257,0.548,3.16,1.186,-0.042,1.307,0.318,0.504
258,0.815,3.161,1.189,-0.041,1.313,0.319,0.506
259,0.802,3.162,1.193,-0.041,1.318,0.32,0.508
260,0.796,3.163,1.196,-0.041,1.324,0.321,0.51
261,0.8,3.164,1.198,-0.042,1.328,0.32,0.511
262,0.803,3.164,1.199,-0.045,1.332,0.318,0.511
263,0.799,3.165,1.199,-0.049,1.334,0.315,0.51
264,0.444,3.165,1.204,-0.049,1.34,0.317,0.513
265,0.382,3.165,1.211,-0.046,1.35,0.321,0.519
266,0.305,3.164,1.219,-0.041,1.36,0.327,0.526
267,0.289,3.163,1.226,-0.039,1.368,0.331,0.532
268,0.332,3.162,1.23,-0.038,1.373,0.333,0.535
269,0.37,3.161,1.23,-0.041,1.375,0.331,0.534
270,0.43,3.16,1.226,-0.049,1.371,0.324,0.529
271,0.323,3.16,1.219,-0.059,1.365,0.315,0.521
272,0.242,3.159,1.212,-0.069,1.359,0.306,0.513
273,0.255,3.159,1.207,-0.077,1.355,0.299,0.508
